season,round,driver_id,position,points,wins
1955,7,russo,,0.0,0
1955,7,ray_crawford,,0.0,0
1955,7,piotti,,0.0,0
1955,7,bryan,,0.0,0
1955,7,fairman,,0.0,0
1955,7,mcgrath,,0.0,0
1955,7,keller,,0.0,0
1955,7,ward,,0.0,0
1955,7,boyd,,0.0,0
1955,7,elisian,,0.0,0
1955,7,hoyt,,0.0,0
1955,7,agabashian,,0.0,0
1955,7,reece,,0.0,0
1956,8,fangio,1.0,30.0,3
1956,8,moss,2.0,27.0,2
1956,8,collins,3.0,25.0,2
1956,8,behra,4.0,22.0,0
1956,8,flaherty,5.0,8.0,1
1956,8,castellotti,6.0,7.5,0
1956,8,hanks,7.0,6.0,0
1956,8,frere,8.0,6.0,0
1956,8,godia,9.0,6.0,0
1956,8,fairman,10.0,5.0,0
1956,8,musso,11.0,4.0,1
1956,8,hawthorn,12.0,4.0,0
1956,8,flockhart,13.0,4.0,0
1956,8,freeland,14.0,4.0,0
1956,8,portago,15.0,3.0,0
1956,8,perdisa,16.0,3.0,0
1956,8,schell,17.0,3.0,0
1956,8,parsons,18.0,3.0,0
1956,8,rosier,19.0,2.0,0
1956,8,villoresi,20.0,2.0,0
1956,8,gould,21.0,2.0,0
1956,8,ramos,22.0,2.0,0
1956,8,gendebien,23.0,2.0,0
1956,8,dick_rathmann,24.0,2.0,0
1956,8,gerini,25.0,1.5,0
1956,8,landi,26.0,1.5,0
1956,8,paul_russo,27.0,1.0,0
1956,8,andre_pilette,,0.0,0
1956,8,piotti,,0.0,0
1956,8,oscar_gonzalez,,0.0,0
1956,8,uria,,0.0,0
1956,8,bayol,,0.0,0
1956,8,sweikert,,0.0,0
1956,8,veith,,0.0,0
1956,8,graffenried,,0.0,0
1956,8,ward,,0.0,0
1956,8,manzon,,0.0,0
1956,8,simon,,0.0,0
1956,8,reece,,0.0,0
1956,8,griffith,,0.0,0
1956,8,salvadori,,0.0,0
1956,8,hartley,,0.0,0
1956,8,gerard,,0.0,0
1956,8,agabashian,,0.0,0
1956,8,christie,,0.0,0
1956,8,keller,,0.0,0
1956,8,johnson,,0.0,0
1956,8,garrett,,0.0,0
1956,8,dinsmore,,0.0,0
1956,8,connor,,0.0,0
1956,8,bryan,,0.0,0
1956,8,halford,,0.0,0
1956,8,volonterio,,0.0,0
1956,8,milhoux,,0.0,0
1956,8,trintignant,,0.0,0
1956,8,menditeguy,,0.0,0
1956,8,gonzalez,,0.0,0
1956,8,maglioli,,0.0,0
1956,8,scotti,,0.0,0
1956,8,titterington,,0.0,0
1956,8,scarlatti,,0.0,0
1956,8,brooks,,0.0,0
1956,8,chiron,,0.0,0
1956,8,taruffi,,0.0,0
1956,8,rathmann,,0.0,0
1956,8,chapman,,0.0,0
1956,8,bonnier,,0.0,0
1956,8,tolan,,0.0,0
1956,8,bettenhausen,,0.0,0
1956,8,elisian,,0.0,0
1956,8,russo,,0.0,0
1956,8,leston,,0.0,0
1956,8,daywalt,,0.0,0
1956,8,scott_Brown,,0.0,0
1956,8,turner,,0.0,0
1956,8,emery,,0.0,0
1956,8,trips,,0.0,0
1956,8,andrews,,0.0,0
1956,8,jack_brabham,,0.0,0
1956,8,linden,,0.0,0
1956,8,herman,,0.0,0
1956,8,ray_crawford,,0.0,0
1956,8,boyd,,0.0,0
1956,8,ruttman,,0.0,0
1956,8,thomson,,0.0,0
1957,8,fangio,1.0,40.0,4
1957,8,moss,2.0,25.0,3
1957,8,musso,3.0,16.0,0
1957,8,hawthorn,4.0,13.0,0
1957,8,brooks,5.0,11.0,1
1957,8,gregory,6.0,10.0,0
1957,8,schell,7.0,10.0,0
1957,8,hanks,8.0,8.0,1
1957,8,collins,9.0,8.0,0
1957,8,rathmann,10.0,7.0,0
1957,8,behra,11.0,6.0,0
1957,8,lewis-evans,12.0,5.0,0
1957,8,trintignant,13.0,5.0,0
1957,8,trips,14.0,4.0,0
1957,8,menditeguy,15.0,4.0,0
1957,8,bryan,16.0,4.0,0
1957,8,paul_russo,17.0,3.0,0
1957,8,salvadori,18.0,2.0,0
1957,8,linden,19.0,2.0,0
1957,8,scarlatti,20.0,1.0,0
1957,8,gonzalez,21.0,1.0,0
1957,8,portago,22.0,1.0,0
1957,8,jack_brabham,,0.0,0
1957,8,perdisa,,0.0,0
1957,8,boyd,,0.0,0
1957,8,gerard,,0.0,0
1957,8,bonnier,,0.0,0
1957,8,teague,,0.0,0
1957,8,macdowel,,0.0,0
1957,8,bueb,,0.0,0
1957,8,connor,,0.0,0
1957,8,godia,,0.0,0
1957,8,tomaso,,0.0,0
1957,8,veith,,0.0,0
1957,8,gould,,0.0,0
1957,8,piotti,,0.0,0
1957,8,hartley,,0.0,0
1957,8,halford,,0.0,0
1957,8,simon,,0.0,0
1957,8,turner,,0.0,0
1957,8,volonterio,,0.0,0
1957,8,thomson,,0.0,0
1957,8,barth,,0.0,0
1957,8,christie,,0.0,0
1957,8,naylor,,0.0,0
1957,8,weyant,,0.0,0
1957,8,beaufort,,0.0,0
1957,8,bettenhausen,,0.0,0
1957,8,marsh,,0.0,0
1957,8,parsons,,0.0,0
1957,8,freeland,,0.0,0
1957,8,flockhart,,0.0,0
1957,8,castellotti,,0.0,0
1957,8,mackay-fraser,,0.0,0
1957,8,fairman,,0.0,0
1957,8,leston,,0.0,0
1957,8,herrmann,,0.0,0
1957,8,maglioli,,0.0,0
1957,8,reece,,0.0,0
1957,8,edmunds,,0.0,0
1957,8,tolan,,0.0,0
1957,8,herman,,0.0,0
1957,8,agabashian,,0.0,0
1957,8,england,,0.0,0
1957,8,sachs,,0.0,0
1957,8,gibson,,0.0,0
1957,8,magill,,0.0,0
1957,8,johnson,,0.0,0
1957,8,cheesbourg,,0.0,0
1957,8,keller,,0.0,0
1957,8,daywalt,,0.0,0
1957,8,elisian,,0.0,0
1957,8,ward,,0.0,0
1957,8,ruttman,,0.0,0
1957,8,russo,,0.0,0
1957,8,george,,0.0,0
1958,11,hawthorn,1.0,42.0,1
1958,11,moss,2.0,41.0,4
1958,11,brooks,3.0,24.0,3
1958,11,salvadori,4.0,15.0,0
1958,11,collins,5.0,14.0,1
1958,11,schell,6.0,14.0,0
1958,11,trintignant,7.0,12.0,1
1958,11,musso,8.0,12.0,0
1958,11,lewis-evans,9.0,11.0,0
1958,11,phil_hill,10.0,9.0,0
1958,11,trips,11.0,9.0,0
1958,11,behra,12.0,9.0,0
1958,11,bryan,13.0,8.0,1
1958,11,fangio,14.0,7.0,0
1958,11,george_amick,15.0,6.0,0
1958,11,boyd,16.0,4.0,0
1958,11,bettenhausen,17.0,4.0,0
1958,11,jack_brabham,18.0,3.0,0
1958,11,allison,19.0,3.0,0
1958,11,bonnier,20.0,3.0,0
1958,11,rathmann,21.0,2.0,0
1958,11,gregory,,0.0,0
1958,11,shelby,,0.0,0
1958,11,mclaren,,0.0,0
1958,11,hill,,0.0,0
1958,11,gendebien,,0.0,0
1958,11,reece,,0.0,0
1958,11,barth,,0.0,0
1958,11,burgess,,0.0,0
1958,11,menditeguy,,0.0,0
1958,11,freeland,,0.0,0
1958,11,godia,,0.0,0
1958,11,fairman,,0.0,0
1958,11,larson,,0.0,0
1958,11,marsh,,0.0,0
1958,11,gerini,,0.0,0
1958,11,herrmann,,0.0,0
1958,11,gould,,0.0,0
1958,11,johnson,,0.0,0
1958,11,filippis,,0.0,0
1958,11,ruttman,,0.0,0
1958,11,cheesbourg,,0.0,0
1958,11,bueb,,0.0,0
1958,11,beaufort,,0.0,0
1958,11,keller,,0.0,0
1958,11,parsons,,0.0,0
1958,11,tolan,,0.0,0
1958,11,la_caze,,0.0,0
1958,11,guelfi,,0.0,0
1958,11,cabianca,,0.0,0
1958,11,scarlatti,,0.0,0
1958,11,seidel,,0.0,0
1958,11,christie,,0.0,0
1958,11,dempsey_wilson,,0.0,0
1958,11,foyt,,0.0,0
1958,11,goethals,,0.0,0
1958,11,flockhart,,0.0,0
1958,11,magill,,0.0,0
1958,11,paul_russo,,0.0,0
1958,11,stacey,,0.0,0
1958,11,picard,,0.0,0
1958,11,templeman,,0.0,0
1958,11,bridger,,0.0,0
1958,11,ward,,0.0,0
1958,11,garrett,,0.0,0
1958,11,sachs,,0.0,0
1958,11,gibson,,0.0,0
1958,11,thomson,,0.0,0
1958,11,naylor,,0.0,0
1958,11,weyant,,0.0,0
1958,11,turner,,0.0,0
1958,11,veith,,0.0,0
1958,11,dick_rathmann,,0.0,0
1958,11,elisian,,0.0,0
1958,11,connor,,0.0,0
1958,11,goldsmith,,0.0,0
1958,11,jerry_unser,,0.0,0
1958,11,sutton,,0.0,0
1958,11,bisch,,0.0,0
1959,9,jack_brabham,1.0,31.0,2
1959,9,brooks,2.0,27.0,2
1959,9,moss,3.0,25.5,2
1959,9,phil_hill,4.0,20.0,0
1959,9,trintignant,5.0,19.0,0
1959,9,mclaren,6.0,16.5,1
1959,9,gurney,7.0,13.0,0
1959,9,bonnier,8.0,10.0,1
1959,9,gregory,9.0,10.0,0
1959,9,ward,10.0,8.0,1
1959,9,rathmann,11.0,6.0,0
1959,9,thomson,12.0,5.0,0
1959,9,schell,13.0,5.0,0
1959,9,ireland,14.0,5.0,0
1959,9,gendebien,15.0,3.0,0
1959,9,bettenhausen,16.0,3.0,0
1959,9,allison,17.0,2.0,0
1959,9,behra,18.0,2.0,0
1959,9,goldsmith,19.0,2.0,0
1959,9,salvadori,,0.0,0
1959,9,flockhart,,0.0,0
1959,9,burgess,,0.0,0
1959,9,trips,,0.0,0
1959,9,boyd,,0.0,0
1959,9,hill,,0.0,0
